title,release_date,genres
Sonic the Hedgehog,2020-02-12,"Action, Science Fiction, Comedy, Family"
Fantastic Four,2005-06-29,"Action, Adventure, Fantasy, Science Fiction"
Tenet,2020-08-22,"Action, Thriller, Science Fiction"
District 9,2009-08-05,Science Fiction
Star Trek Into Darkness,2013-05-05,"Action, Adventure, Science Fiction"
Watchmen,2009-03-04,"Action, Mystery, Science Fiction"
Alita: Battle Angel,2019-01-31,"Action, Science Fiction, Adventure"
Godzilla,2014-05-14,"Action, Drama, Science Fiction"
Elysium,2013-08-07,"Science Fiction, Action, Drama, Thriller"
War for the Planet of the Apes,2017-07-11,"Drama, Science Fiction, War"
Annihilation,2018-02-22,"Science Fiction, Horror"
Minority Report,2002-06-20,"Action, Thriller, Science Fiction, Mystery"
Transformers: Revenge of the Fallen,2009-06-19,"Science Fiction, Action, Adventure"
Solo: A Star Wars Story,2018-05-15,"Science Fiction, Adventure, Action"
Terminator Genisys,2015-06-23,"Science Fiction, Action, Thriller, Adventure"
The Purge,2013-05-31,"Science Fiction, Horror, Thriller"
Alien: Covenant,2017-05-09,"Science Fiction, Horror, Mystery"
Glass,2019-01-16,"Thriller, Drama, Science Fiction"
Transformers: Dark of the Moon,2011-06-28,"Action, Science Fiction, Adventure"
War of the Worlds,2005-06-28,"Adventure, Thriller, Science Fiction"
Source Code,2011-03-30,"Thriller, Science Fiction, Mystery"
Free Guy,2021-08-11,"Comedy, Adventure, Science Fiction"
Transformers: Age of Extinction,2014-06-25,"Science Fiction, Action, Adventure"
Ghost in the Shell,2017-03-29,"Science Fiction, Drama, Action"
Real Steel,2011-09-28,"Action, Science Fiction, Drama"
Eternals,2021-11-03,"Science Fiction, Action, Adventure"
Chappie,2015-03-04,"Crime, Action, Science Fiction"
The Day After Tomorrow,2004-05-26,"Action, Adventure, Science Fiction, Thriller"
10 Cloverfield Lane,2016-03-10,"Thriller, Science Fiction, Drama, Horror"
Assassin's Creed,2016-12-21,"Action, Adventure, Science Fiction"
Don't Look Up,2021-12-07,"Science Fiction, Comedy, Drama"
Maze Runner: The Death Cure,2018-01-10,"Science Fiction, Action, Adventure, Thriller"
Pixels,2015-07-16,"Action, Comedy, Science Fiction"
The Meg,2018-08-09,"Action, Science Fiction, Horror"
Valerian and the City of a Thousand Planets,2017-07-20,"Adventure, Science Fiction, Action"
The Butterfly Effect,2004-01-17,"Science Fiction, Thriller"
Life,2017-03-22,"Horror, Science Fiction, Mystery, Thriller"
Green Lantern,2011-06-14,"Adventure, Action, Thriller, Science Fiction"
Cloud Atlas,2012-10-26,"Drama, Science Fiction"
TRON: Legacy,2010-12-14,"Adventure, Action, Science Fiction"
Jurassic Park III,2001-07-18,"Adventure, Action, Thriller, Science Fiction"
Tomorrowland,2015-05-19,"Adventure, Family, Mystery, Science Fiction"
Rampage,2018-04-11,"Action, Adventure, Science Fiction"
Cloverfield,2008-01-15,"Action, Thriller, Science Fiction"
Children of Men,2006-09-22,"Drama, Action, Thriller, Science Fiction"
Teenage Mutant Ninja Turtles,2014-08-07,"Science Fiction, Action, Adventure, Comedy"
Jupiter Ascending,2015-02-04,"Science Fiction, Fantasy, Action"
The Platform,2019-11-08,"Drama, Science Fiction, Thriller"
Megamind,2010-10-28,"Animation, Action, Comedy, Family, Science Fiction"
Allegiant,2016-03-09,"Adventure, Science Fiction, Action, Mystery"
Star Trek Beyond,2016-07-07,"Action, Adventure, Science Fiction"
After Earth,2013-05-30,"Science Fiction, Action, Adventure"
Super 8,2011-06-08,"Thriller, Science Fiction, Mystery"
Ad Astra,2019-09-17,"Science Fiction, Drama"
28 Days Later,2002-10-31,"Horror, Thriller, Science Fiction"
Terminator 3: Rise of the Machines,2003-07-02,"Action, Thriller, Science Fiction"
Terminator Salvation,2009-05-20,"Action, Science Fiction, Thriller"
Dark Phoenix,2019-06-05,"Fantasy, Science Fiction, Action, Adventure"
Predestination,2014-08-28,"Science Fiction, Thriller"
Resident Evil,2002-03-15,"Horror, Action, Science Fiction"
Transformers: The Last Knight,2017-06-16,"Action, Adventure, Science Fiction"
A.I. Artificial Intelligence,2001-06-29,"Drama, Science Fiction, Adventure"
